Sample ID,Grab ID,Profile ID,Sample Number,Collect DateTime,Depth (m),Site Type,Area,Locator,Site,Parameter,Value,Units,QualityId,Lab Qualifier,MDL,RDL,Text Value,Sample Info,Steward Note,Replicates,Replicate Of,Method,Date Analyzed,Data Source
16316,16316,10702,9209019,04/13/1992 12:00:00 AM,1,Streams and Rivers,Pipers,KSHZ06,Pipers Creek mouth,Total Phosphorus,0.07,mg/L,2,,,,.070||King County Nstream Database/B53311,,,,,none,,KCEL
8937,8937,37688,7915489,06/20/1979 12:00:00 AM,1,Streams and Rivers,Crisp,321,Crisp Creek mouth at SE Green Valley Rd,Nitrite + Nitrate Nitrogen,0.727,mg/L,2,,,,.727||King County Nstream Database/RS2,,,,,,,KCEL
137745,137745,54368,L58228-1,06/25/2013 08:09:00 AM,1,Large Lakes,Lake Union/Ship Canal,512,Ship Canal above locks,Temperature,18.9,deg C,2,,,,,,,,,HYDROLAB,06/25/2013,KCEL
131816,131816,50605,L55068-6,02/13/2012 09:38:00 AM,1,Large Lakes,Lake Union/Ship Canal,540,Ship Canal near Montlake Bridge,Orthophosphate Phosphorus,0.00724,mg/L,2,,0.002,0.005,,,,,,SM4500-P-F,02/15/2012,KCEL
82325,82325,43896,L52933-87,03/30/2011 02:36:00 PM,4.2,Large Lakes,Lake Washington,804,Lake Washington north end,Temperature,8.94,deg C,2,,,,,,,,,HYDROLAB,,KCEL
60091,60091,42106,L29749-54,09/02/2003 13:44,1,Large Lakes,Lake Washington,852,Lake Washington Madison Park,Temperature,21.9,deg C,2,,,,,,,,,,,KCEL
156539,,68254,L70197-1,06/12/2018 8:55,,Streams and Rivers,Idylwood,A620,Idylwood Creek mouth at Idylwood Park,Orthophosphate Phosphorus,0.0832,mg/L,2,,0.0005,0.002,,,,,,SM4500-P-F,06/14/2018,KCEL
64045,64045,41210,L47565-69,03/09/2009 12:50,18,Large Lakes,Lake Washington,852,Lake Washington Madison Park,Conductivity  Field,97.3,umhos/cm,2,,0.5,10,,,,,,HYDROLAB (SOP 205V4),,KCEL
41265,41265,40681,L48174-26,05/27/2009 10:18:00 AM,1,Large Lakes,Lake Sammamish,611,Lake Sammamish mid-lake north,Conductivity  Field,104,umhos/cm,2,,0.5,10,,,,,,HYDROLAB,,KCEL
22772,,19978,L19003-1,10/12/2000 9:42,,Streams and Rivers,Longfellow,C370,Longfellow Creek at SW Yancy St,Storm Or Non-Storm,,none,2,,,,N,,,,,NONE,,KCEL
